Word,Cognate_Set,Language,Language_No,Word_form
LAKE,4,Sardinian_L,18-0,LAGU
LAKE,4,Sardinian_C,19-0,LAGU
LAKE,4,Spanish,20-0,LAGO
LAKE,4,Portuguese_ST,21-0,LAGO
LAKE,4,Brazilian,22-0,LAGO
LAKE,4,Catalan,23-0,LLACH
LAKE,4,Penn_Dutch,25-0,LOCH
LAKE,4,English,37-0,LAKE
LAKE,4,Armenian_Mod,71-0,LIC
LAKE,4,Armenian_List,72-0,LICH
LAKE,4,Albanian_T,80-0,LIGEN
LAKE,4,ALbanian_C,84-0,LAGHU
LAKE,5,Welsh_N,03-0,LLYN
LAKE,5,Welsh_C,04-0,LLYN
LAKE,5,Breton_List,05-0,LENN
LAKE,5,Breton_SE,06-0,LENN
LAKE,5,Breton_ST,07-0,LENN
LAKE,6,Afghan,74-0,DAND
LAKE,6,Baluchi,78-0,DHAND
LAKE,6,Baluchi,78-1,DAND
LAKE,6,Baluchi,78-2,DAND
LAKE,7,Panjabi_ST,60-0,CIL
LAKE,7,Lahnda,61-0,JHIL
LAKE,7,Hindi,62-0,JHIL
LAKE,7,Nepali_List,64-0,JHIL
LAKE,7,Afghan,74-0,DZIHIL
LEAF,1,Lusatian_L,43-0,LIST
LEAF,1,Lusatian_U,44-0,LIST
LEAF,1,Czech,45-0,LIST
LEAF,1,Slovak,46-0,LIST
LEAF,1,Czech_E,47-0,LIST
LEAF,1,Ukrainian,48-0,LYST
LEAF,1,Byelorussian,49-0,LIST
LEAF,1,Polish,50-0,LISC
LEAF,1,Russian,51-0,LIST
LEAF,1,Macedonian,52-0,LIST
LEAF,1,Bulgarian,53-0,LIST
LEAF,1,Serbocroatian,54-0,LIST
LEAF,2,Lithuanian_O,39-0,LAPAS
LEAF,2,Lithuanian_O,39-1,LAKSTAS
LEAF,2,Lithuanian_ST,40-0,LAPAS
LEAF,2,Latvian,41-0,LAPA
LEAF,3,Romani,55-0,PATRIN
LEAF,3,Panjabi_ST,60-0,PETTA
LEAF,3,Lahnda,61-0,PETTA
LEAF,3,Hindi,62-0,PETTA
LEAF,3,Bengali,63-0,PATA
LEAF,3,Nepali_List,64-0,PAT
LEAF,3,Khaskura,65-0,PAT
LEAF,4,Romanian_List,08-0,FOAIE
LEAF,4,Italian,10-0,FOGLIO
LEAF,4,Ladin,11-0,FOGLIA
LEAF,4,Provencal,12-0,FUEIO
LEAF,4,French,13-0,FEUILLE
LEAF,4,Walloon,14-0,FOUYE
LEAF,4,Walloon,14-1,FOYE
LEAF,4,French_Creole_C,15-0,FEY
LEAF,4,French_Creole_D,16-0,FEY
LEAF,4,Sardinian_L,18-0,FOZZA
LEAF,4,Sardinian_C,19-0,FOLLA
LEAF,4,Spanish,20-0,HOJA
LEAF,4,Portuguese_ST,21-0,FOLHA
LEAF,4,Brazilian,22-0,FOLHA
LEAF,4,Catalan,23-0,FULLA
LEAF,4,Greek_ML,66-0,FULLO
LEAF,4,Greek_MD,67-0,FULLO
LEAF,4,Greek_Mod,68-0,FILO
LEAF,4,Greek_D,69-0,FULLO
LEAF,4,Greek_K,70-0,FULLON
LEAF,5,Irish_A,01-0,DUILLEOG
LEAF,5,Irish_B,02-0,DUILLE
LEAF,5,Welsh_N,03-0,DEILEN
LEAF,5,Welsh_C,04-0,DALEN
LEAF,5,Breton_List,05-0,DEIL
LEAF,5,Breton_SE,06-0,DELEN
LEAF,5,Breton_ST,07-0,DELIENN
LEAF,6,German_ST,24-0,BLATT
LEAF,6,Penn_Dutch,25-0,BLOT
LEAF,6,Dutch_List,26-0,BLAD
LEAF,6,Afrikaans,27-0,BLAD
LEAF,6,Afrikaans,27-1,BLAAR
LEAF,6,Flemish,28-0,BLAD
LEAF,6,Frisian,29-0,BLED
LEAF,6,Swedish_Up,30-0,BLAD
LEAF,6,Swedish_VL,31-0,BLA
LEAF,6,Swedish_List,32-0,BLAD
LEAF,6,Riksmal,34-0,BLAD
LEAF,6,Faroese,36-0,BLAD
LEAF,7,Swedish_VL,31-0,LOVBLA
LEAF,7,Swedish_List,32-0,LOV
LEAF,7,Danish,33-0,LOV
LEAF,7,Icelandic_ST,35-0,LAUFBLAO
LEAF,7,English,37-0,LEAF
LEAF,8,Kashmiri,57-0,PAN
LEAF,8,Marathi,58-0,PAN
LEAF,8,Gujarati,59-0,PAN
LEAF,8,Gujarati,59-1,PANDERU
LEAF,8,Afghan,74-0,PANA
LEAF,8,Waziri,75-0,PONRYE
LEAF,9,Albanian_T,80-0,FLETE
LEAF,9,Albanian_Top,81-0,FLETE
LEAF,9,Albanian_G,82-0,FLETA
LEAF,9,Albanian_K,83-0,FLETE
LEAF,9,ALbanian_C,84-0,FLET
LEFT,1,Persian_List,76-0,CHAP
LEFT,1,Tadzik,77-0,CAP
LEFT,1,Baluchi,78-0,CHAP
LEFT,1,Wakhi,79-0,CUP
LEFT,2,Swedish_Up,30-0,VANSTER
LEFT,2,Swedish_VL,31-0,VINSTAR
LEFT,2,Swedish_VL,31-1,VANSTAR
LEFT,2,Swedish_List,32-0,VANSTER
LEFT,2,Danish,33-0,VENSTRE
LEFT,2,Riksmal,34-0,VENSTRE
LEFT,2,Icelandic_ST,35-0,VINSTRI
LEFT,2,Faroese,36-0,VINSTRI
LEFT,3,Irish_A,01-0,CLE
LEFT,3,Irish_B,02-0,CLI
LEFT,3,Irish_B,02-1,CLE
LEFT,3,Breton_List,05-0,KLEIZ
LEFT,3,Breton_SE,06-0,KLEI
LEFT,3,Breton_ST,07-0,KLEIZ
LEFT,4,German_ST,24-0,LINK
LEFT,4,Penn_Dutch,25-0,LINGSS
LEFT,4,Dutch_List,26-0,LINKS
LEFT,4,Afrikaans,27-0,LINKS
LEFT,4,Flemish,28-0,LINKSCH
LEFT,4,Frisian,29-0,LINKS
LEFT,5,Marathi,58-0,DAVA
LEFT,5,Gujarati,59-0,DABU
LEFT,5,Nepali_List,64-0,DEBRE
LEFT,5,Khaskura,65-0,DEBRO
LEFT,6,Provencal,12-0,GAUCHE
LEFT,6,Provencal,12-1,AUCHO
LEFT,6,French,13-0,GAUCHE
LEFT,6,Walloon,14-0,GOCHE
LEFT,6,French_Creole_C,15-0,GOS
LEFT,6,French_Creole_D,16-0,GOS
LEFT,7,English,37-0,LEFT
LEFT,7,Slovenian,42-0,LEVIC
LEFT,7,Slovenian,42-1,LEVA-RAKA
LEFT,7,Lusatian_L,43-0,LEWY
LEFT,7,Lusatian_U,44-0,LEWY
LEFT,7,Czech,45-0,LEVY
LEFT,7,Slovak,46-0,AVY
LEFT,7,Czech_E,47-0,LEVO
LEFT,7,Ukrainian,48-0,LIVYJ
LEFT,7,Byelorussian,49-0,LEVY
LEFT,7,Polish,50-0,LEWY
LEFT,7,Russian,51-0,LEVYJ
LEFT,7,Macedonian,52-0,LEV
LEFT,7,Bulgarian,53-0,LJAVO
LEFT,7,Serbocroatian,54-0,LJEVICA
LEFT,8,Greek_ML,66-0,ARISTEROS
LEFT,8,Greek_MD,67-0,ARISTEROS
LEFT,8,Greek_Mod,68-0,ARISTERA
LEFT,8,Greek_D,69-0,ARISTERO
LEFT,8,Greek_K,70-0,ARISTERA
LEFT,9,Spanish,20-0,IZQUIERDO
LEFT,9,Portuguese_ST,21-0,ESQUERDO
LEFT,9,Brazilian,22-0,ESQUERDO
LEFT,9,Catalan,23-0,ESQUER
LEG,1,Slovenian,42-0,NOGA
LEG,1,Czech,45-0,NOHA
LEG,1,Slovak,46-0,NOHA
LEG,1,Czech_E,47-0,NOHA
LEG,1,Ukrainian,48-0,NOGA
LEG,1,Ukrainian,48-1,NIZKA
LEG,1,Byelorussian,49-0,NAGA
LEG,1,Polish,50-0,NOGA
LEG,1,Russian,51-0,NOGA
LEG,1,Macedonian,52-0,NOGA
LEG,1,Serbocroatian,54-0,NOGA
LEG,2,Italian,10-0,GAMBA
LEG,2,Ladin,11-0,CHAMMA
LEG,2,Provencal,12-0,CAMBO
LEG,2,French,13-0,JAMBE
LEG,2,Walloon,14-0,DJAMBE
LEG,2,French_Creole_C,15-0,ZAM
LEG,2,French_Creole_D,16-0,ZAM
LEG,2,Sardinian_L,18-0,CAMBA
LEG,2,Sardinian_C,19-0,KAMBA
LEG,2,Catalan,23-0,CAMA
LEG,2,Albanian_Top,81-0,KEMBE
LEG,2,Albanian_G,82-0,KAMA
LEG,2,Albanian_K,83-0,KEMBE
LEG,2,ALbanian_C,84-0,KEMB
LEG,3,Irish_A,01-0,COS
LEG,3,Irish_B,02-0,COS
LEG,3,Irish_B,02-1,COISE
LEG,3,Welsh_N,03-0,COES
LEG,3,Welsh_C,04-0,COES
LEG,4,Breton_List,05-0,GARR
LEG,4,Breton_List,05-1,GAR
LEG,4,Breton_SE,06-0,GAR
LEG,4,Breton_ST,07-0,GAR
LEG,5,Greek_ML,66-0,PODI
LEG,5,Greek_MD,67-0,PODI
LEG,5,Greek_Mod,68-0,PODHI
LEG,5,Greek_D,69-0,PODI
LEG,5,Greek_K,70-0,POUS
LEG,6,Marathi,58-0,PAY
LEG,6,Bengali,63-0,PA
LEG,6,Persian_List,76-0,PA
LEG,6,Tadzik,77-0,PO
LEG,6,Tadzik,77-1,POJ
LEG,7,German_ST,24-0,BEIN
LEG,7,Penn_Dutch,25-0,BAY
LEG,7,Dutch_List,26-0,BEEN
LEG,7,Afrikaans,27-0,BEEN
LEG,7,Flemish,28-0,BEEN
LEG,7,Swedish_Up,30-0,BEN
LEG,7,Swedish_VL,31-0,BEN
LEG,7,Swedish_List,32-0,BEN
LEG,7,Danish,33-0,BEN
LEG,7,Riksmal,34-0,BEN
LEG,7,Faroese,36-0,BEIN
LEG,8,Faroese,36-0,LEGGUR
LEG,8,English,37-0,LEG
LEG,8,Waziri,75-0,LANGRA
LEG,8,Wakhi,79-0,LENG
LIVER,1,German_ST,24-0,LEBER
LIVER,1,Penn_Dutch,25-0,LEVVER
LIVER,1,Dutch_List,26-0,LEVER
LIVER,1,Afrikaans,27-0,LEWER
LIVER,1,Flemish,28-0,LEVER
LIVER,1,Frisian,29-0,LEVER
LIVER,1,Swedish_Up,30-0,LEVER
LIVER,1,Swedish_VL,31-0,LEVAR
LIVER,1,Swedish_List,32-0,LEVER
LIVER,1,Danish,33-0,LEVER
LIVER,1,Riksmal,34-0,LEVER
LIVER,1,Icelandic_ST,35-0,LIFR
LIVER,1,Faroese,36-0,LIVUR
LIVER,1,English,37-0,LIVER
LIVER,1,Sranan,38-0,LEVER
LIVER,2,Irish_A,01-0,AE
LIVER,2,Irish_A,01-1,AENNA
LIVER,2,Irish_B,02-0,AE
LIVER,2,Afghan,74-0,INA
LIVER,2,Waziri,75-0,YENNA
LIVER,2,Welsh_N,03-0,AFU
LIVER,2,Welsh_C,04-0,AFU
LIVER,2,Breton_List,05-0,AVU
LIVER,2,Breton_SE,06-0,AHU
LIVER,2,Breton_ST,07-0,AVU
LIVER,3,Romanian_List,08-0,FICAT
LIVER,3,Italian,10-0,FEGATO
LIVER,3,Provencal,12-0,FEGE
LIVER,3,Walloon,14-0,FEUTE
LIVER,3,Sardinian_C,19-0,FIGAU
LIVER,3,Spanish,20-0,HIGADO
LIVER,3,Portuguese_ST,21-0,FIGADO
LIVER,3,Brazilian,22-0,FIGADO
LIVER,3,Catalan,23-0,FETGE
LIVER,3,ALbanian_C,84-0,U-FIGHATU
LIVER,4,Greek_ML,66-0,SEKOTI
LIVER,4,Greek_MD,67-0,SEKOTI
LIVER,4,Greek_MD,67-1,SUKOTI
LIVER,4,Greek_Mod,68-0,SKOTI
LIVER,4,Greek_D,69-0,SEKOTI
LIVER,5,Romani,55-0,KALINJO
LIVER,5,Kashmiri,57-0,KALEJA
LIVER,5,Marathi,58-0,KALIJ
LIVER,5,Bengali,63-0,KOLJE
LIVER,5,Nepali_List,64-0,KALEJO
LIVER,5,Khaskura,65-0,KALEJO
LIVER,6,Kashmiri,57-0,JIGAR
LIVER,6,Panjabi_ST,60-0,JIGER
LIVER,6,Lahnda,61-0,JIGER
LIVER,6,Ossetic,73-0,IGAER
LIVER,6,Persian_List,76-0,JEGAR
LIVER,6,Tadzik,77-0,CIGAR
LIVER,6,Baluchi,78-0,JAGHAR
LIVER,6,Wakhi,79-0,JIGAR
LIVER,7,Slovenian,42-0,JTRA
LIVER,7,Lusatian_L,43-0,JETSA
LIVER,7,Lusatian_U,44-0,JATRA
LIVER,7,Czech,45-0,JATRA
LIVER,7,Czech_E,47-0,YATRA
LIVER,7,Byelorussian,49-0,VANTROBA
LIVER,7,Polish,50-0,WATROBA
LIVER,7,Serbocroatian,54-0,JETRA
LIVER,8,Ladin,11-0,FIO
LIVER,8,French,13-0,FOIE
LIVER,8,French_Creole_C,15-0,FWA
LIVER,8,French_Creole_D,16-0,FWA
LONG,1,Greek_ML,66-0,MAKRUS
LONG,1,Greek_MD,67-0,MAKRUS
LONG,1,Greek_Mod,68-0,MAKRIS
LONG,1,Greek_D,69-0,MAKRUS
LONG,1,Greek_K,70-0,MAKROS
LONG,2,Marathi,58-0,LAMB
LONG,2,Gujarati,59-0,LAMBU
LONG,2,Panjabi_ST,60-0,LEMMA
LONG,2,Lahnda,61-0,LEMBA
LONG,2,Hindi,62-0,LEMBA
LONG,2,Bengali,63-0,LOMBA
LONG,2,Nepali_List,64-0,LAMU
LONG,2,Khaskura,65-0,LAMO
LONG,3,Welsh_N,03-0,HIR
LONG,3,Welsh_C,04-0,HIR
LONG,3,Breton_List,05-0,HIR
LONG,3,Breton_SE,06-0,HIR
LONG,3,Breton_ST,07-0,HIR
LONG,4,Romanian_List,08-0,LUNG
LONG,4,Vlach,09-0,LUNGU
LONG,4,Italian,10-0,LUNGO
LONG,4,Ladin,11-0,LUNGIA
LONG,4,Provencal,12-0,LONG
LONG,4,Provencal,12-1,LONGO
LONG,4,French,13-0,LONG
LONG,4,Walloon,14-0,LONG
LONG,4,Walloon,14-1,LONGUE
LONG,4,French_Creole_C,15-0,LON
LONG,4,French_Creole_D,16-0,LON
LONG,4,Sardinian_N,17-0,LONGU
LONG,4,Sardinian_L,18-0,LONGU
LONG,4,Sardinian_C,19-0,LONGU
LONG,4,Portuguese_ST,21-0,LONGO
LONG,4,German_ST,24-0,LANG
LONG,4,Penn_Dutch,25-0,LUNG
LONG,4,Dutch_List,26-0,LANG
LONG,4,Afrikaans,27-0,LANG
LONG,4,Flemish,28-0,LANG
LONG,4,Frisian,29-0,LANG
LONG,4,Swedish_Up,30-0,LANG
LONG,4,Swedish_VL,31-0,LONG
LONG,4,Swedish_List,32-0,LANG
LONG,4,Danish,33-0,LANG
LONG,4,Riksmal,34-0,LANG
LONG,4,Icelandic_ST,35-0,LANGR
LONG,4,Faroese,36-0,LANGUR
LONG,4,English,37-0,LONG
LONG,4,Sranan,38-0,LANGA
LONG,4,Romani,55-0,LUNGO
LONG,5,Albanian_T,80-0,I-GJATHE
LONG,5,Albanian_Top,81-0,I-GATE
LONG,5,Albanian_G,82-0,GJAT
LONG,5,Albanian_K,83-0,GLHATE
LONG,5,ALbanian_C,84-0,I-GLAT
LONG,6,Persian_List,76-0,DERAZ
LONG,6,Tadzik,77-0,DAROZ
LONG,6,Baluchi,78-0,DRAZH
LONG,6,Wakhi,79-0,DEROZ
LONG,7,Slovenian,42-0,DOVGU
LONG,7,Lusatian_L,43-0,DLUJKI
LONG,7,Lusatian_U,44-0,DOLHI
LONG,7,Czech,45-0,DLOUHY
LONG,7,Slovak,46-0,DLHY
LONG,7,Czech_E,47-0,DLUHE
LONG,7,Ukrainian,48-0,DOVGYJ-E
LONG,7,Byelorussian,49-0,DAWHI
LONG,7,Byelorussian,49-1,DOWHA
LONG,7,Polish,50-0,DLUGI
LONG,7,Russian,51-0,DOLGIJ
LONG,7,Macedonian,52-0,DOLG
LONG,7,Bulgarian,53-0,DELGO
LONG,7,Serbocroatian,54-0,DUG
LOUSE,1,Afghan,74-0,SPEZA
LOUSE,1,Afghan,74-1,SPEZA
LOUSE,1,Waziri,75-0,SPAZHA
LOUSE,1,Persian_List,76-0,SHEPESH
LOUSE,2,French,13-0,POU
LOUSE,2,Walloon,14-0,PIOU
LOUSE,2,French_Creole_C,15-0,PU
LOUSE,2,French_Creole_D,16-0,PU
LOUSE,2,Sardinian_L,18-0,PIOGU
LOUSE,2,Spanish,20-0,PIOJO
LOUSE,2,Portuguese_ST,21-0,PIOLHO
LOUSE,2,Brazilian,22-0,PIOLHO
LOUSE,2,Catalan,23-0,POLL
LOUSE,3,Albanian_T,80-0,MOZ
LOUSE,3,Albanian_Top,81-0,MOR
LOUSE,3,Albanian_G,82-0,MORRA
LOUSE,3,Albanian_K,83-0,MOR
LOUSE,3,ALbanian_C,84-0,MOR
LOUSE,4,German_ST,24-0,LAUS
LOUSE,4,Penn_Dutch,25-0,LOUSE
LOUSE,4,Dutch_List,26-0,LUIS
LOUSE,4,Afrikaans,27-0,LUIS
LOUSE,4,Flemish,28-0,LUIS
LOUSE,4,Frisian,29-0,LUS
LOUSE,4,Frisian,29-1,LUS
LOUSE,4,Swedish_Up,30-0,LUS
LOUSE,4,Swedish_VL,31-0,LUS
LOUSE,4,Swedish_List,32-0,LUS
LOUSE,4,Danish,33-0,LUS
LOUSE,4,Riksmal,34-0,LUS
LOUSE,4,Icelandic_ST,35-0,LUS
LOUSE,4,Faroese,36-0,LUS
LOUSE,4,English,37-0,LOUSE
LOUSE,4,Sranan,38-0,LOSO
LOUSE,5,Welsh_N,03-0,LLO
LOUSE,5,Welsh_C,04-0,LLEUEN
LOUSE,5,Breton_List,05-0,LAOU
LOUSE,5,Breton_SE,06-0,LEUEN
LOUSE,5,Breton_ST,07-0,LAOUENN
LOUSE,6,Slovenian,42-0,USI
LOUSE,6,Lusatian_L,43-0,WES
LOUSE,6,Lusatian_U,44-0,WOS
LOUSE,6,Czech,45-0,VES
LOUSE,6,Slovak,46-0,VOS
LOUSE,6,Czech_E,47-0,VES
LOUSE,6,Ukrainian,48-0,VOSA
LOUSE,6,Ukrainian,48-1,VOS
LOUSE,6,Byelorussian,49-0,VOS
LOUSE,6,Polish,50-0,WESZ
LOUSE,6,Russian,51-0,VOS
LOUSE,6,Macedonian,52-0,VOSKA
LOUSE,6,Bulgarian,53-0,VESKA
LOUSE,6,Serbocroatian,54-0,US
LOUSE,7,Romani,55-0,JUV
LOUSE,7,Panjabi_ST,60-0,JU
LOUSE,7,Hindi,62-0,JU
LOUSE,7,Nepali_List,64-0,JUMRO
LOUSE,7,Khaskura,65-0,JUMRA
MAN,1,German_ST,24-0,MANN
MAN,1,Penn_Dutch,25-0,MAAN
MAN,1,Dutch_List,26-0,MAN
MAN,1,Afrikaans,27-0,MAN
MAN,1,Flemish,28-0,MAN
MAN,1,Frisian,29-0,MAN
MAN,1,Swedish_Up,30-0,MAN
MAN,1,Swedish_VL,31-0,MAN
MAN,1,Swedish_List,32-0,MAN
MAN,1,Danish,33-0,MAND
MAN,1,Riksmal,34-0,MANN
MAN,1,English,37-0,MAN
MAN,1,Singhalese,56-0,MINIHA
MAN,1,Gujarati,59-0,MANES
MAN,1,Nepali_List,64-0,MANCHE
MAN,1,Khaskura,65-0,MANCHHA
MAN,1,Khaskura,65-1,MANIS
MAN,1,Italian,10-0,UOMO
MAN,1,Ladin,11-0,HOMENS
MAN,1,Provencal,12-0,OME
MAN,1,French,13-0,HOMME
MAN,1,Walloon,14-0,OME
MAN,1,French_Creole_C,15-0,NOM
MAN,1,French_Creole_D,16-0,NOM
MAN,1,Sardinian_N,17-0,OMINE
MAN,1,Sardinian_L,18-0,OMINE
MAN,1,Sardinian_C,19-0,OMINI
MAN,1,Spanish,20-0,HOMBRE
MAN,1,Portuguese_ST,21-0,HOMEM
MAN,1,Brazilian,22-0,HOMEM
MAN,1,Catalan,23-0,HOME
MAN,2,Irish_B,02-0,DUINE
MAN,2,Welsh_N,03-0,DYN
MAN,2,Welsh_C,04-0,DYN
MAN,2,Breton_List,05-0,DEN
MAN,3,Portuguese_ST,21-0,VARAO
MAN,3,Lithuanian_O,39-0,VYRAS
MAN,3,Lithuanian_ST,40-0,VYRAS
MAN,3,Latvian,41-0,VIRIETIS
MAN,4,Lusatian_L,43-0,CLOWEK
MAN,4,Lusatian_U,44-0,CLOWJEK
MAN,4,Slovak,46-0,CHLAP
MAN,4,Byelorussian,49-0,CALAVEK
MAN,4,Macedonian,52-0,COVEK
MAN,4,Serbocroatian,54-0,COVEK
MAN,5,Slovenian,42-0,MOZ
MAN,5,Slovenian,42-1,MASKI
MAN,5,Czech,45-0,MUZ
MAN,5,Slovak,46-0,MUZ
MAN,5,Czech_E,47-0,MUSKI
MAN,5,Byelorussian,49-0,MUZCYNA
MAN,5,Polish,50-0,MEZCZYZNA
MAN,5,Russian,51-0,MUZCINA
MAN,5,Bulgarian,53-0,MEZ
MAN,6,Swedish_Up,30-0,KARL
MAN,6,Swedish_VL,31-0,KAR
MAN,6,Swedish_List,32-0,KARL
MAN,6,Icelandic_ST,35-0,KARL
MAN,6,Icelandic_ST,35-1,KARLMADR
MAN,6,Icelandic_ST,35-2,MADR
MAN,6,Faroese,36-0,MADUR
MAN,6,Faroese,36-1,KALLMADUR
MAN,7,Panjabi_ST,60-0,ADMI
MAN,7,Lahnda,61-0,ADMI
MAN,7,Hindi,62-0,ADMI
MAN,7,Persian_List,76-0,ADAM
MAN,8,Kashmiri,57-0,PORUSH
MAN,8,Marathi,58-0,PURUS
MAN,8,Bengali,63-0,PURUS
MAN,8,Nepali_List,64-0,PURUKH
MAN,9,Kashmiri,57-0,MARD
MAN,9,Armenian_Mod,71-0,MARD
MAN,9,Armenian_List,72-0,MART
MAN,9,Tadzik,77-0,MARD
MAN,9,Baluchi,78-0,MARD
MAN,9,Baluchi,78-1,MAR
MAN,9,Wakhi,79-0,MERDINA
MAN,10,Albanian_T,80-0,BURRE
MAN,10,Albanian_Top,81-0,BURE
MAN,10,Albanian_G,82-0,BURRI
MAN,10,Albanian_K,83-0,BURE
MAN,10,ALbanian_C,84-0,BUR
MAN,11,Greek_ML,66-0,ANTRAS
MAN,11,Greek_MD,67-0,ANTRAS
MAN,11,Greek_Mod,68-0,ANDRAS
MAN,11,Greek_D,69-0,ANTRAS
MAN,11,Greek_K,70-0,ANER
MANY,1,Romanian_List,08-0,MULTI
MANY,1,Romanian_List,08-1,MULTE
MANY,1,Vlach,09-0,MULTI
MANY,1,Italian,10-0,MOLTI
MANY,1,Spanish,20-0,MUCHOS
MANY,1,Portuguese_ST,21-0,MUITOS
MANY,1,Brazilian,22-0,MUITOS
MANY,1,Catalan,23-0,MOLT
MANY,2,Lithuanian_O,39-0,DAUG
MANY,2,Lithuanian_ST,40-0,DAUG
MANY,2,Latvian,41-0,DAUDZ
MANY,2,Slovenian,42-0,DOSTI
MANY,2,Polish,50-0,DUZO
MANY,3,Albanian_T,80-0,SHUME
MANY,3,Albanian_Top,81-0,SUME
MANY,3,Albanian_G,82-0,SHUM
MANY,3,Albanian_K,83-0,SUME
MANY,3,ALbanian_C,84-0,SUM
MANY,4,Frisian,29-0,BOT
MANY,4,Romani,55-0,BUT
MANY,4,Panjabi_ST,60-0,BOT
MANY,4,Hindi,62-0,BOHT
MANY,5,Swedish_Up,30-0,MANGA
MANY,5,Swedish_VL,31-0,MANG
MANY,5,Swedish_VL,31-1,MONG
MANY,5,Swedish_List,32-0,MANGA
MANY,5,Danish,33-0,MANGE
MANY,5,Riksmal,34-0,MANGE
MANY,5,Faroese,36-0,MANGUR
MANY,5,English,37-0,MANY
MANY,5,Lusatian_L,43-0,MLOGI
MANY,5,Lusatian_U,44-0,MNOHO
MANY,5,Czech,45-0,MNOHO
MANY,5,Czech,45-1,MNOHY
MANY,5,Slovak,46-0,MNOHY
MANY,5,Russian,51-0,MNOGO
MANY,5,Macedonian,52-1,MNOGU
MANY,5,Bulgarian,53-0,MNOGO
MANY,5,Serbocroatian,54-0,MNOGI
MANY,6,Sranan,38-0,FOELOE
MANY,6,German_ST,24-0,VIELE
MANY,6,Penn_Dutch,25-0,FIEL
MANY,6,Dutch_List,26-0,VEEL
MANY,6,Afrikaans,27-0,VEEL
MANY,6,Flemish,28-0,VEEL
MANY,6,Flemish,28-1,VELE
MANY,6,Greek_ML,66-0,POLLOI
MANY,6,Greek_MD,67-0,POLLOI
MANY,6,Greek_Mod,68-0,POLI
MANY,6,Greek_D,69-0,POLLOI
MANY,6,Greek_K,70-0,POLLOI
MANY,7,Nepali_List,64-0,DHER
MANY,7,Khaskura,65-0,DHERI
MANY,7,Afghan,74-0,DER
MANY,7,Waziri,75-0,DER
MEAT,1,Welsh_N,03-0,CIG
MEAT,1,Welsh_C,04-0,CIG
MEAT,1,Breton_List,05-0,KIG
MEAT,1,Breton_SE,06-0,KIG
MEAT,1,Breton_ST,07-0,KIG
MEAT,2,Waziri,75-0,GHOSHA
MEAT,2,Waziri,75-1,GHESHA
MEAT,2,Persian_List,76-0,GUSHT
MEAT,2,Tadzik,77-0,GUST
MEAT,2,Baluchi,78-0,GOZHD
MEAT,2,Wakhi,79-0,GOST
MEAT,3,German_ST,24-0,FLEISCH
MEAT,3,Penn_Dutch,25-0,FLAYSCH
MEAT,3,Dutch_List,26-0,VLEESCH
MEAT,3,Afrikaans,27-0,VLEES
MEAT,3,Afrikaans,27-1,VLEIS
MEAT,3,Flemish,28-0,VLEESCH
MEAT,3,Frisian,29-0,FLEIS
MEAT,3,Frisian,29-1,FLESK
MEAT,3,Frisian,29-2,FLESK
MEAT,4,Lithuanian_O,39-0,MESA
MEAT,4,Lithuanian_ST,40-0,MESA
MEAT,4,Slovenian,42-0,MESO
MEAT,4,Lusatian_L,43-0,MESO
MEAT,4,Lusatian_U,44-0,MJASO
MEAT,4,Czech,45-0,MASO
MEAT,4,Slovak,46-0,MASO
MEAT,4,Czech_E,47-0,MASO
MEAT,4,Ukrainian,48-0,M*JASO
MEAT,4,Ukrainian,48-1,M*JASYVO
MEAT,4,Byelorussian,49-0,MJASA
MEAT,4,Polish,50-0,MIESO
MEAT,4,Russian,51-0,MJASO
MEAT,4,Macedonian,52-0,MESO
MEAT,4,Bulgarian,53-0,MESO
MEAT,4,Serbocroatian,54-0,MESO
MEAT,4,Romani,55-0,MAS
MEAT,4,Singhalese,56-0,MAS
MEAT,4,Kashmiri,57-0,MAZ
MEAT,4,Marathi,58-0,MAS
MEAT,4,Marathi,58-1,MAVS
MEAT,4,Gujarati,59-0,MAS
MEAT,4,Panjabi_ST,60-0,MAS
MEAT,4,Lahnda,61-0,MAS
MEAT,4,Hindi,62-0,MAS
MEAT,4,Bengali,63-0,MANSO
MEAT,4,Nepali_List,64-0,MASU
MEAT,4,Khaskura,65-0,MASU
MEAT,4,Armenian_Mod,71-0,MIS
MEAT,4,Armenian_List,72-0,MIS
MEAT,4,Albanian_T,80-0,MISH
MEAT,4,Albanian_Top,81-0,MIS
MEAT,4,Albanian_G,82-0,MISHT
MEAT,4,Albanian_K,83-0,MIS
MEAT,4,ALbanian_C,84-0,MIS
MEAT,5,Greek_ML,66-0,KREAS
MEAT,5,Greek_MD,67-0,KREAS
MEAT,5,Greek_Mod,68-0,KREAS
MEAT,5,Greek_D,69-0,KREAS
MEAT,5,Greek_K,70-0,KREAS
MEAT,6,Swedish_Up,30-0,KOTT
MEAT,6,Swedish_List,32-0,KOTT
MEAT,6,Danish,33-0,KOD
MEAT,6,Riksmal,34-0,KJOTT
MEAT,7,Romanian_List,08-0,CARNE
MEAT,7,Vlach,09-0,KARNE
MEAT,7,Italian,10-0,CARNE
MEAT,7,Ladin,11-0,CHARN
MEAT,7,Provencal,12-0,CAR
MEAT,7,Walloon,14-0,TCHAR
MEAT,7,Spanish,20-0,CARNE
MEAT,7,Portuguese_ST,21-0,CARNE
MEAT,7,Brazilian,22-0,CARNE
