Word,Cognate_Set,Language,Language_No,Word_form
ASHES,5,Penn_Dutch,25-0,ESCH
ASHES,5,Dutch_List,26-0,ASCH
ASHES,5,Afrikaans,27-0,AS
ASHES,5,Flemish,28-0,ASCH
ASHES,5,Frisian,29-0,YESKE
ASHES,5,Swedish_Up,30-0,ASKA
ASHES,5,Swedish_VL,31-0,ASKA
ASHES,5,Swedish_List,32-0,ASKA
ASHES,5,Danish,33-0,ASKE
ASHES,5,Riksmal,34-0,ASKE
ASHES,5,Icelandic_ST,35-0,ASKA
ASHES,5,Faroese,36-0,OSKA
ASHES,5,English,37-0,ASHES
ASHES,5,Sranan,38-0,ASESI
ASHES,6,Greek_ML,66-0,STACHTE
ASHES,6,Greek_MD,67-0,STACHTE
ASHES,6,Greek_Mod,68-0,STAKHTI
ASHES,6,Greek_D,69-0,STACHTE
ASHES,6,Greek_D,69-1,STACHTES
ASHES,7,Albanian_T,80-0,HI
ASHES,7,Albanian_Top,81-0,HI
ASHES,7,Albanian_G,82-0,HINI
ASHES,7,Albanian_K,83-0,XII
ASHES,7,ALbanian_C,84-0,XI
AT,1,Greek_ML,66-0,SE
AT,1,Greek_MD,67-0,SE
AT,1,Greek_MD,67-1,STE
AT,1,Greek_Mod,68-0,SE
AT,1,Greek_Mod,68-1,S
AT,1,Greek_D,69-0,STO
AT,1,Greek_D,69-1,STE
AT,2,Slovenian,42-0,NE
AT,2,Albanian_T,80-0,NE
AT,2,Albanian_Top,81-0,NE
AT,2,Albanian_K,83-0,NDE
AT,3,Swedish_Up,30-0,VID
AT,3,Swedish_List,32-0,VID
AT,3,Danish,33-0,VED
AT,3,Riksmal,34-0,VED
AT,3,Icelandic_ST,35-0,VIO
AT,3,Faroese,36-0,VID
AT,4,Irish_A,01-0,AIG
AT,4,Irish_B,02-0,AG
AT,4,Vlach,09-0,A
AT,4,Italian,10-0,A
AT,4,Italian,10-1,AD
AT,4,Ladin,11-0,A
AT,4,Ladin,11-1,AD
AT,4,Ladin,11-2,ADA
AT,4,Provencal,12-0,A
AT,4,French,13-0,A
AT,4,Walloon,14-0,A
AT,4,French_Creole_C,15-0,A
AT,4,French_Creole_D,16-0,A
AT,4,French_Creole_D,16-1,A
AT,4,Sardinian_N,17-0,A
AT,4,Sardinian_L,18-0,A
AT,4,Sardinian_C,19-0,A
AT,4,Spanish,20-0,A
AT,4,Brazilian,22-0,A
AT,4,Swedish_Up,30-0,AT
AT,4,Faroese,36-0,A
AT,4,English,37-0,AT
AT,4,Lithuanian_O,39-0,ANT
AT,4,Baluchi,78-0,A
AT,5,Welsh_N,03-0,YN
AT,5,Welsh_C,04-0,YN
AT,5,Breton_List,05-0,E
AT,5,Breton_List,05-1,EN
AT,5,Breton_SE,06-0,E
AT,5,Breton_SE,06-1,EN
AT,5,Breton_ST,07-0,E
AT,5,Breton_ST,07-1,EN
AT,5,Portuguese_ST,21-0,EM
AT,5,Portuguese_ST,21-1,NA
AT,5,Brazilian,22-0,NO
AT,5,German_ST,24-0,AN
AT,5,Penn_Dutch,25-0,ONN
AT,5,Flemish,28-0,AEN
AT,5,Sranan,38-0,NA
AT,5,Sranan,38-1,NA
AT,5,Czech,45-0,NA
AT,5,Czech_E,47-0,NA
AT,5,Ukrainian,48-0,NA
AT,5,Macedonian,52-0,NA
AT,5,Bulgarian,53-0,NA
AT,6,Dutch_List,26-0,TE
AT,6,Afrikaans,27-0,TE
AT,6,Flemish,28-0,TE
AT,6,Marathi,58-0,T
AT,6,Panjabi_ST,60-0,TE
AT,6,Wakhi,79-0,TER
AT,6,ALbanian_C,84-0,TE
AT,7,Lusatian_L,43-0,WU
AT,7,Czech,45-0,U
AT,7,Ukrainian,48-0,V
AT,7,Polish,50-0,W
AT,7,Russian,51-0,V
AT,7,Russian,51-1,U
AT,7,Macedonian,52-0,U
AT,8,Panjabi_ST,60-0,PER
AT,8,Hindi,62-0,PER
AT,8,Waziri,75-0,PERI
AT,8,Lithuanian_ST,40-0,PRIE
AT,8,Latvian,41-0,PIE
AT,8,Lusatian_U,44-0,PRI
AT,8,Czech,45-0,PRI
AT,8,Slovak,46-0,PRI
AT,8,Czech_E,47-0,PRI
AT,8,Ukrainian,48-0,PRY
AT,8,Byelorussian,49-0,PRY
AT,9,Hindi,62-0,ME
AT,9,Nepali_List,64-0,MA
AT,9,Khaskura,65-0,MA
AT,9,Albanian_G,82-0,ME
BACK,1,Slovenian,42-0,HERBET
BACK,1,Lusatian_L,43-0,KSEBJAT
BACK,1,Lusatian_U,44-0,CHRIBJET
BACK,1,Czech_E,47-0,HRBET
BACK,1,Macedonian,52-0,GRB
BACK,2,Sardinian_C,19-0,SKINA
BACK,2,Ukrainian,48-0,SPYNA
BACK,2,Russian,51-0,SPINA
BACK,2,Albanian_G,82-0,SHPINA
BACK,3,Singhalese,56-0,PASSA
BACK,3,Kashmiri,57-0,PYUTHU
BACK,3,Marathi,58-0,PATH
BACK,3,Gujarati,59-0,PITH
BACK,3,Panjabi_ST,60-0,PITTH
BACK,3,Lahnda,61-0,PICCHE
BACK,3,Hindi,62-0,PITH
BACK,3,Bengali,63-0,PIT
BACK,3,Nepali_List,64-0,PITH
BACK,3,Persian_List,76-0,POSHT
BACK,3,Tadzik,77-0,PUST
BACK,3,Tadzik,77-1,TAXTAPUST
BACK,3,Baluchi,78-0,PHUSHT
BACK,4,Welsh_N,03-0,CEFN
BACK,4,Welsh_C,04-0,CEFEN
BACK,4,Breton_List,05-0,KEIN
BACK,4,Breton_SE,06-0,KEIN
BACK,4,Breton_ST,07-0,KEIN
BACK,5,Vlach,09-0,PELTAYA
BACK,5,Greek_ML,66-0,PLATE
BACK,5,Greek_MD,67-0,PLATE
BACK,5,Greek_Mod,68-0,PLATI
BACK,6,Romanian_List,08-0,DOS
BACK,6,Italian,10-0,DOSSO
BACK,6,Ladin,11-0,DOSS
BACK,6,Provencal,12-0,DOS
BACK,6,French,13-0,DOS
BACK,6,French_Creole_C,15-0,DO
BACK,6,French_Creole_D,16-0,DO
BACK,6,Sardinian_L,18-0,DORSO
BACK,6,Spanish,20-0,DORSO
BACK,6,Portuguese_ST,21-0,DORSO
BACK,7,Czech,45-0,ZPATKY
BACK,7,Czech,45-1,NAZPET
BACK,7,Czech,45-2,ZPET
BACK,7,Slovak,46-0,NAZPAT
BACK,8,Irish_A,01-0,DROM
BACK,8,Irish_B,02-0,DRUIM
BACK,8,Romani,55-0,DUMO
BACK,8,Wakhi,79-0,DUM
BACK,9,German_ST,24-0,RUCKEN
BACK,9,Dutch_List,26-0,RUG
BACK,9,Afrikaans,27-0,RUG
BACK,9,Flemish,28-0,RUG
BACK,9,Frisian,29-0,RUG
BACK,9,Swedish_Up,30-0,RYGG
BACK,9,Swedish_VL,31-0,ROG
BACK,9,Swedish_List,32-0,RYGG
BACK,9,Riksmal,34-0,RYGG
